fecha,evento,valor,estado
2026-09-05T14:51:12,actualizacion,50,OK
2026-09-05T14:51:13,inicio,56,OK
2026-09-05T14:51:13,inicio,62,OK
2026-09-05T14:51:13,inicio,39,OK
2026-09-05T14:51:38,actualizacion,76,OK
2026-09-05T14:51:43,proceso,22,OK
2026-09-05T14:51:48,proceso,89,OK
2026-09-05T14:51:53,inicio,52,OK
2026-09-05T14:51:58,actualizacion,61,OK
2026-09-05T14:52:03,proceso,100,OK
2026-09-05T14:52:08,advertencia,68,REVISION
2026-09-05T14:52:13,advertencia,67,REVISION
2026-09-05T14:52:18,advertencia,1,REVISION
2026-09-05T14:52:23,proceso,46,OK
2026-09-05T14:52:28,advertencia,10,REVISION
2026-09-05T14:52:34,advertencia,75,REVISION
2026-09-05T14:52:39,advertencia,66,REVISION
2026-09-05T14:52:44,advertencia,34,REVISION
2026-09-05T14:52:49,proceso,12,OK
2026-09-05T14:52:54,proceso,98,OK
2026-09-05T14:52:59,proceso,58,OK
2026-09-05T14:53:04,inicio,12,OK
2026-09-05T14:53:09,inicio,14,OK
2026-09-05T14:53:14,advertencia,55,REVISION
2026-09-05T14:53:19,advertencia,38,REVISION
2026-09-05T14:53:24,actualizacion,87,OK
2026-09-05T14:53:29,inicio,2,OK
2026-09-05T14:53:34,inicio,92,OK
2026-09-05T14:53:39,proceso,74,OK
2026-09-05T14:53:44,actualizacion,24,OK
2026-09-05T14:53:49,advertencia,34,REVISION
2026-09-05T14:53:54,actualizacion,42,OK
2026-09-05T14:53:59,actualizacion,17,OK
2026-09-05T14:54:04,actualizacion,70,OK
2026-09-05T14:54:09,advertencia,45,REVISION
2026-09-05T14:54:14,actualizacion,88,OK
2026-09-05T14:54:19,inicio,5,OK
2026-09-05T14:54:24,advertencia,43,REVISION
2026-09-05T14:54:29,actualizacion,24,OK
2026-09-05T14:54:34,actualizacion,21,OK
2026-09-05T14:54:39,proceso,70,OK
2026-09-05T14:54:44,proceso,87,OK
2026-09-05T14:54:49,proceso,12,OK
2026-09-05T14:54:54,actualizacion,36,OK
2026-09-05T14:54:59,advertencia,45,REVISION
2026-09-05T14:58:29,advertencia,14,REVISION
2026-09-05T14:58:34,actualizacion,47,OK
2026-09-05T14:58:39,inicio,91,OK
2026-09-05T14:58:44,proceso,45,OK
2026-09-05T14:58:49,actualizacion,8,OK
2026-09-05T14:58:54,proceso,8,OK
2026-09-05T14:58:59,inicio,20,OK
2026-09-05T14:59:04,advertencia,9,REVISION
2026-09-05T14:59:09,advertencia,62,REVISION
2026-09-05T14:59:14,advertencia,53,REVISION
2026-09-05T14:59:19,actualizacion,85,OK
2026-09-05T14:59:24,proceso,60,OK
2026-09-05T14:59:29,advertencia,41,REVISION
2026-09-05T14:59:34,advertencia,38,REVISION
2026-09-05T14:59:39,inicio,95,OK
2026-09-05T14:59:44,actualizacion,70,OK
2026-09-05T14:59:49,actualizacion,98,OK
2026-09-05T14:59:54,proceso,90,OK
2026-09-05T14:59:59,advertencia,16,REVISION
2026-09-05T15:00:04,advertencia,56,REVISION
2026-09-05T15:00:09,proceso,94,OK
2026-09-05T15:00:14,inicio,77,OK
2026-09-05T15:00:19,advertencia,24,REVISION
2026-09-05T15:00:24,proceso,86,OK
2026-09-05T15:00:29,inicio,100,OK
