2026-09-05T14:51:12 | entrada=1 | evento=actualizacion | valor=50 | estado=OK
2026-09-05T14:51:13 | entrada=2 | evento=inicio | valor=56 | estado=OK
2026-09-05T14:51:13 | entrada=3 | evento=inicio | valor=62 | estado=OK
2026-09-05T14:51:13 | entrada=4 | evento=inicio | valor=39 | estado=OK
2026-09-05T14:51:38 | entrada=1 | evento=actualizacion | valor=76 | estado=OK
2026-09-05T14:51:43 | entrada=2 | evento=proceso | valor=22 | estado=OK
2026-09-05T14:51:48 | entrada=3 | evento=proceso | valor=89 | estado=OK
2026-09-05T14:51:53 | entrada=4 | evento=inicio | valor=52 | estado=OK
2026-09-05T14:51:58 | entrada=5 | evento=actualizacion | valor=61 | estado=OK
2026-09-05T14:52:03 | entrada=6 | evento=proceso | valor=100 | estado=OK
2026-09-05T14:52:08 | entrada=7 | evento=advertencia | valor=68 | estado=REVISION
2026-09-05T14:52:13 | entrada=8 | evento=advertencia | valor=67 | estado=REVISION
2026-09-05T14:52:18 | entrada=9 | evento=advertencia | valor=1 | estado=REVISION
2026-09-05T14:52:23 | entrada=10 | evento=proceso | valor=46 | estado=OK
2026-09-05T14:52:28 | entrada=11 | evento=advertencia | valor=10 | estado=REVISION
2026-09-05T14:52:34 | entrada=12 | evento=advertencia | valor=75 | estado=REVISION
2026-09-05T14:52:39 | entrada=13 | evento=advertencia | valor=66 | estado=REVISION
2026-09-05T14:52:44 | entrada=14 | evento=advertencia | valor=34 | estado=REVISION
2026-09-05T14:52:49 | entrada=15 | evento=proceso | valor=12 | estado=OK
2026-09-05T14:52:54 | entrada=16 | evento=proceso | valor=98 | estado=OK
2026-09-05T14:52:59 | entrada=17 | evento=proceso | valor=58 | estado=OK
2026-09-05T14:53:04 | entrada=18 | evento=inicio | valor=12 | estado=OK
2026-09-05T14:53:09 | entrada=19 | evento=inicio | valor=14 | estado=OK
2026-09-05T14:53:14 | entrada=20 | evento=advertencia | valor=55 | estado=REVISION
2026-09-05T14:53:19 | entrada=21 | evento=advertencia | valor=38 | estado=REVISION
2026-09-05T14:53:24 | entrada=22 | evento=actualizacion | valor=87 | estado=OK
2026-09-05T14:53:29 | entrada=23 | evento=inicio | valor=2 | estado=OK
2026-09-05T14:53:34 | entrada=24 | evento=inicio | valor=92 | estado=OK
2026-09-05T14:53:39 | entrada=25 | evento=proceso | valor=74 | estado=OK
2026-09-05T14:53:44 | entrada=26 | evento=actualizacion | valor=24 | estado=OK
2026-09-05T14:53:49 | entrada=27 | evento=advertencia | valor=34 | estado=REVISION
2026-09-05T14:53:54 | entrada=28 | evento=actualizacion | valor=42 | estado=OK
2026-09-05T14:53:59 | entrada=29 | evento=actualizacion | valor=17 | estado=OK
2026-09-05T14:54:04 | entrada=30 | evento=actualizacion | valor=70 | estado=OK
2026-09-05T14:54:09 | entrada=31 | evento=advertencia | valor=45 | estado=REVISION
2026-09-05T14:54:14 | entrada=32 | evento=actualizacion | valor=88 | estado=OK
2026-09-05T14:54:19 | entrada=33 | evento=inicio | valor=5 | estado=OK
2026-09-05T14:54:24 | entrada=34 | evento=advertencia | valor=43 | estado=REVISION
2026-09-05T14:54:29 | entrada=35 | evento=actualizacion | valor=24 | estado=OK
2026-09-05T14:54:34 | entrada=36 | evento=actualizacion | valor=21 | estado=OK
2026-09-05T14:54:39 | entrada=37 | evento=proceso | valor=70 | estado=OK
2026-09-05T14:54:44 | entrada=38 | evento=proceso | valor=87 | estado=OK
2026-09-05T14:54:49 | entrada=39 | evento=proceso | valor=12 | estado=OK
2026-09-05T14:54:54 | entrada=40 | evento=actualizacion | valor=36 | estado=OK
2026-09-05T14:54:59 | entrada=41 | evento=advertencia | valor=45 | estado=REVISION
2026-09-05T14:58:29 | entrada=1 | evento=advertencia | valor=14 | estado=REVISION
2026-09-05T14:58:34 | entrada=2 | evento=actualizacion | valor=47 | estado=OK
2026-09-05T14:58:39 | entrada=3 | evento=inicio | valor=91 | estado=OK
2026-09-05T14:58:44 | entrada=4 | evento=proceso | valor=45 | estado=OK
2026-09-05T14:58:49 | entrada=5 | evento=actualizacion | valor=8 | estado=OK
2026-09-05T14:58:54 | entrada=6 | evento=proceso | valor=8 | estado=OK
2026-09-05T14:58:59 | entrada=7 | evento=inicio | valor=20 | estado=OK
2026-09-05T14:59:04 | entrada=8 | evento=advertencia | valor=9 | estado=REVISION
2026-09-05T14:59:09 | entrada=9 | evento=advertencia | valor=62 | estado=REVISION
2026-09-05T14:59:14 | entrada=10 | evento=advertencia | valor=53 | estado=REVISION
2026-09-05T14:59:19 | entrada=11 | evento=actualizacion | valor=85 | estado=OK
2026-09-05T14:59:24 | entrada=12 | evento=proceso | valor=60 | estado=OK
2026-09-05T14:59:29 | entrada=13 | evento=advertencia | valor=41 | estado=REVISION
2026-09-05T14:59:34 | entrada=14 | evento=advertencia | valor=38 | estado=REVISION
2026-09-05T14:59:39 | entrada=15 | evento=inicio | valor=95 | estado=OK
2026-09-05T14:59:44 | entrada=16 | evento=actualizacion | valor=70 | estado=OK
2026-09-05T14:59:49 | entrada=17 | evento=actualizacion | valor=98 | estado=OK
2026-09-05T14:59:54 | entrada=18 | evento=proceso | valor=90 | estado=OK
2026-09-05T14:59:59 | entrada=19 | evento=advertencia | valor=16 | estado=REVISION
2026-09-05T15:00:04 | entrada=20 | evento=advertencia | valor=56 | estado=REVISION
2026-09-05T15:00:09 | entrada=21 | evento=proceso | valor=94 | estado=OK
2026-09-05T15:00:14 | entrada=22 | evento=inicio | valor=77 | estado=OK
2026-09-05T15:00:19 | entrada=23 | evento=advertencia | valor=24 | estado=REVISION
2026-09-05T15:00:24 | entrada=24 | evento=proceso | valor=86 | estado=OK
2026-09-05T15:00:29 | entrada=25 | evento=inicio | valor=100 | estado=OK
2026-09-05T15:00:34 | entrada=26 | evento=inicio | valor=78 | estado=OK
2026-09-05T15:00:39 | entrada=27 | evento=proceso | valor=23 | estado=OK
2026-09-05T15:00:44 | entrada=28 | evento=actualizacion | valor=73 | estado=OK
2026-09-05T15:00:49 | entrada=29 | evento=inicio | valor=5 | estado=OK
2026-09-05T15:00:54 | entrada=30 | evento=advertencia | valor=54 | estado=REVISION
2026-09-05T15:00:59 | entrada=31 | evento=proceso | valor=79 | estado=OK
2026-09-05T15:01:04 | entrada=32 | evento=advertencia | valor=50 | estado=REVISION
2026-09-05T15:01:09 | entrada=33 | evento=inicio | valor=78 | estado=OK
2026-09-05T15:01:14 | entrada=34 | evento=actualizacion | valor=32 | estado=OK
2026-09-05T15:01:19 | entrada=35 | evento=advertencia | valor=39 | estado=REVISION
2026-09-05T15:01:24 | entrada=36 | evento=actualizacion | valor=35 | estado=OK
2026-09-05T15:01:29 | entrada=37 | evento=inicio | valor=99 | estado=OK
2026-09-05T15:01:34 | entrada=38 | evento=actualizacion | valor=62 | estado=OK
2026-09-05T15:01:40 | entrada=39 | evento=actualizacion | valor=34 | estado=OK
2026-09-05T15:01:45 | entrada=40 | evento=actualizacion | valor=69 | estado=OK
2026-09-05T15:01:50 | entrada=41 | evento=actualizacion | valor=46 | estado=OK
2026-09-05T15:01:55 | entrada=42 | evento=actualizacion | valor=2 | estado=OK
2026-09-05T15:02:00 | entrada=43 | evento=actualizacion | valor=65 | estado=OK
2026-09-05T15:02:05 | entrada=44 | evento=actualizacion | valor=65 | estado=OK
2026-09-05T15:02:10 | entrada=45 | evento=proceso | valor=10 | estado=OK
2026-09-05T15:02:15 | entrada=46 | evento=proceso | valor=55 | estado=OK
2026-09-05T15:02:20 | entrada=47 | evento=advertencia | valor=85 | estado=REVISION
2026-09-05T15:02:25 | entrada=48 | evento=proceso | valor=35 | estado=OK
2026-09-05T15:02:30 | entrada=49 | evento=inicio | valor=20 | estado=OK
2026-09-05T15:02:35 | entrada=50 | evento=inicio | valor=16 | estado=OK
2026-09-05T15:02:40 | entrada=51 | evento=actualizacion | valor=59 | estado=OK
2026-09-05T15:02:45 | entrada=52 | evento=inicio | valor=28 | estado=OK
2026-09-05T15:02:50 | entrada=53 | evento=actualizacion | valor=49 | estado=OK
2026-09-05T15:02:55 | entrada=54 | evento=proceso | valor=91 | estado=OK
2026-09-05T15:03:00 | entrada=55 | evento=actualizacion | valor=92 | estado=OK
2026-09-05T15:03:05 | entrada=56 | evento=inicio | valor=40 | estado=OK
2026-09-05T15:03:10 | entrada=57 | evento=actualizacion | valor=33 | estado=OK
2026-09-05T15:03:15 | entrada=58 | evento=proceso | valor=89 | estado=OK
2026-09-05T15:03:20 | entrada=59 | evento=proceso | valor=52 | estado=OK
2026-09-05T15:03:25 | entrada=60 | evento=inicio | valor=15 | estado=OK
2026-09-05T15:03:30 | entrada=61 | evento=advertencia | valor=87 | estado=REVISION
2026-09-05T15:03:35 | entrada=62 | evento=advertencia | valor=72 | estado=REVISION
2026-09-05T15:03:40 | entrada=63 | evento=advertencia | valor=100 | estado=REVISION
2026-09-05T15:03:45 | entrada=64 | evento=advertencia | valor=3 | estado=REVISION
2026-09-05T15:03:50 | entrada=65 | evento=proceso | valor=97 | estado=OK
2026-09-05T15:03:55 | entrada=66 | evento=proceso | valor=92 | estado=OK
2026-09-05T15:04:00 | entrada=67 | evento=proceso | valor=70 | estado=OK
2026-09-05T15:04:05 | entrada=68 | evento=proceso | valor=94 | estado=OK
2026-09-05T15:04:10 | entrada=69 | evento=inicio | valor=90 | estado=OK
2026-09-05T15:04:15 | entrada=70 | evento=advertencia | valor=67 | estado=REVISION
2026-09-05T15:04:20 | entrada=71 | evento=proceso | valor=5 | estado=OK
2026-09-05T15:04:25 | entrada=72 | evento=proceso | valor=34 | estado=OK
2026-09-05T15:04:30 | entrada=73 | evento=advertencia | valor=16 | estado=REVISION
2026-09-05T15:04:35 | entrada=74 | evento=advertencia | valor=54 | estado=REVISION
2026-09-05T15:04:40 | entrada=75 | evento=advertencia | valor=98 | estado=REVISION
2026-09-05T15:04:45 | entrada=76 | evento=inicio | valor=85 | estado=OK
2026-09-05T15:04:50 | entrada=77 | evento=inicio | valor=25 | estado=OK
2026-09-05T15:04:55 | entrada=78 | evento=proceso | valor=8 | estado=OK
2026-09-05T15:05:00 | entrada=79 | evento=actualizacion | valor=31 | estado=OK
2026-09-05T15:05:05 | entrada=80 | evento=actualizacion | valor=34 | estado=OK
2026-09-05T15:05:10 | entrada=81 | evento=advertencia | valor=10 | estado=REVISION
2026-09-05T15:05:15 | entrada=82 | evento=actualizacion | valor=84 | estado=OK
2026-09-05T15:05:20 | entrada=83 | evento=proceso | valor=90 | estado=OK
2026-09-05T15:05:25 | entrada=84 | evento=inicio | valor=79 | estado=OK
2026-09-05T15:05:30 | entrada=85 | evento=inicio | valor=59 | estado=OK
2026-09-05T15:05:35 | entrada=86 | evento=inicio | valor=40 | estado=OK
